iter	Passed	Remaining
0	126	126138
1	127	63451
2	127	42475
3	128	31985
4	129	25709
5	129	21512
6	130	18507
7	131	16253
8	131	14505
9	132	13103
10	132	11956
11	133	10999
12	134	10188
13	134	9498
14	135	8897
15	136	8375
16	136	7912
17	137	7510
18	138	7150
19	139	6827
20	140	6527
21	140	6259
22	141	6024
23	142	5805
24	143	5606
25	144	5424
26	145	5249
27	146	5082
28	147	4926
29	147	4780
30	148	4643
31	149	4515
32	150	4395
33	150	4283
34	151	4176
35	152	4081
36	153	3989
37	154	3900
38	154	3814
39	155	3731
40	156	3652
41	156	3577
42	157	3506
43	158	3439
44	159	3374
45	159	3312
46	160	3253
47	161	3196
48	161	3142
49	162	3093
50	163	3045
51	164	2998
52	165	2954
53	166	2913
54	167	2876
55	168	2835
56	168	2795
57	169	2756
58	170	2719
59	171	2682
60	171	2647
61	172	2613
62	173	2581
63	174	2549
64	175	2518
65	175	2488
66	176	2459
67	177	2431
68	178	2403
69	178	2377
70	179	2351
71	180	2327
72	181	2306
73	182	2287
74	183	2264
75	184	2241
76	184	2217
77	185	2195
78	186	2174
79	187	2153
80	188	2133
81	188	2113
82	189	2090
83	189	2071
84	190	2052
85	191	2034
86	192	2017
87	193	2000
88	193	1983
89	194	1967
90	195	1952
91	196	1941
92	197	1927
93	198	1912
94	199	1897
95	200	1883
96	200	1869
97	201	1858
98	202	1846
99	203	1833
100	204	1819
101	205	1806
102	205	1793
103	206	1780
104	207	1767
105	208	1755
106	208	1743
107	209	1732
108	210	1720
109	211	1709
110	212	1700
111	213	1689
112	213	1679
113	214	1669
114	215	1658
115	216	1648
116	216	1637
117	217	1627
118	218	1617
119	219	1607
120	219	1597
121	220	1587
122	221	1578
123	222	1569
124	222	1559
125	223	1551
126	224	1541
127	224	1532
128	225	1524
129	226	1518
130	227	1511
131	228	1503
132	229	1494
133	230	1486
134	230	1478
135	231	1471
136	232	1463
137	233	1455
138	233	1448
139	234	1440
140	235	1433
141	235	1424
142	236	1417
143	237	1410
144	238	1403
145	238	1396
146	239	1389
147	240	1382
148	241	1376
149	242	1372
150	242	1365
151	243	1359
152	244	1353
153	245	1346
154	245	1340
155	246	1334
156	247	1328
157	248	1322
158	248	1316
159	249	1310
160	250	1303
161	250	1297
162	251	1291
163	252	1286
164	253	1281
165	253	1275
166	254	1270
167	255	1264
168	256	1260
169	257	1258
170	258	1254
171	259	1250
172	260	1245
173	261	1240
174	262	1236
175	263	1231
176	264	1227
177	264	1223
178	265	1218
179	266	1214
180	267	1209
181	268	1204
182	268	1199
183	269	1194
184	270	1190
185	271	1187
186	272	1184
187	273	1180
188	274	1175
189	274	1171
190	275	1167
191	276	1163
192	277	1159
193	278	1155
194	278	1150
195	279	1146
196	280	1142
197	281	1138
198	281	1134
199	282	1130
200	283	1126
201	284	1122
202	284	1118
203	286	1118
204	287	1114
205	288	1111
206	289	1107
207	289	1103
208	290	1099
209	291	1096
210	292	1094
211	293	1091
212	294	1087
213	295	1084
214	295	1080
215	296	1076
216	297	1073
217	298	1069
218	298	1066
219	299	1062
220	300	1059
221	301	1056
222	302	1055
223	303	1051
224	304	1048
225	305	1045
226	306	1042
227	306	1038
228	307	1035
229	308	1032
230	309	1029
231	309	1025
232	310	1022
233	311	1019
234	312	1016
235	313	1013
236	313	1010
237	314	1006
238	315	1003
239	315	1000
240	316	997
241	317	994
242	318	991
243	318	988
244	319	985
245	320	982
246	321	979
247	322	976
248	323	975
249	324	972
250	325	970
251	325	967
252	326	964
253	327	962
254	328	959
255	329	956
256	330	954
257	330	951
258	332	949
259	332	947
260	333	945
261	334	942
262	335	939
263	336	937
264	337	934
265	337	932
266	338	929
267	339	926
268	340	924
269	340	921
270	341	919
271	342	916
272	343	913
273	343	911
274	344	908
275	345	906
276	346	903
277	347	901
278	348	900
279	349	898
280	350	895
281	350	893
282	351	891
283	352	888
284	353	885
285	353	883
286	354	880
287	355	878
288	355	875
289	356	873
290	357	870
291	358	868
292	359	866
293	359	863
294	360	861
295	361	859
296	362	858
297	363	856
298	364	854
299	365	852
300	366	850
301	367	848
302	368	846
303	368	844
304	369	842
305	370	839
306	371	837
307	371	835
308	372	833
309	373	831
310	374	829
311	375	826
312	375	825
313	377	823
314	380	826
315	382	827
316	385	829
317	386	828
318	387	826
319	388	824
320	388	822
321	389	820
322	390	818
323	391	816
324	392	814
325	393	813
326	394	812
327	395	810
328	396	808
329	397	806
330	398	804
331	399	802
332	400	801
333	401	799
334	402	798
335	403	796
336	404	795
337	404	793
338	405	791
339	406	789
340	408	788
341	409	787
342	410	785
343	410	783
344	411	781
345	412	779
346	414	779
347	415	778
348	416	776
349	417	775
350	418	774
351	419	772
352	421	771
353	422	771
354	423	769
355	424	768
356	425	766
357	426	764
358	427	763
359	428	761
360	429	759
361	430	758
362	430	756
363	431	754
364	433	753
365	433	751
366	434	749
367	435	748
368	436	747
369	437	745
370	438	743
371	439	742
372	440	740
373	441	738
374	442	737
375	443	735
376	443	733
377	444	731
378	445	729
379	446	727
380	446	726
381	447	724
382	448	722
383	449	720
384	449	718
385	450	716
386	451	715
387	452	713
388	453	712
389	454	710
390	454	708
